file_type,classification,page_count,total_chars,avg_chars_per_page,filename,rel_path
CI,DIGITAL,1,1347,1347.0,CI 8000121180 SNKO03K250201369 JWSH250300.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코 7.5MW 3.5선적JWSH25030014\CI 8000121180 SNKO03K250201369 JWSH250300.pdf
CI,DIGITAL,1,1366,1366.0,CI 8000121181 SNKO03K250201374.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코 7.5MW 3.5선적JWSH25030014\CI 8000121181 SNKO03K250201374.pdf
OBL,DIGITAL,1,2221,2221.0,0014 탑솔라 수입필증 OBL JWSH25030014 2025.03.11.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코 7.5MW 3.5선적JWSH25030014\0014 탑솔라 수입필증 OBL JWSH25030014 2025.03.11.pdf
OBL,DIGITAL,1,2210,2210.0,1374 탑솔라 수입필증 OBL SNKO03K250201374   2025.03.11.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코 7.5MW 3.5선적JWSH25030014\1374 탑솔라 수입필증 OBL SNKO03K250201374   2025.03.11.pdf
OBL,SCAN,1,0,0.0,OBL JWSH25030014.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코 7.5MW 3.5선적JWSH25030014\OBL JWSH25030014.pdf
OBL,SCAN,2,0,0.0,OBL SNKO03K250201374.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코 7.5MW 3.5선적JWSH25030014\OBL SNKO03K250201374.pdf
PL,DIGITAL,1,643,643.0,PL JWSH25030014.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코 7.5MW 3.5선적JWSH25030014\PL JWSH25030014.pdf
PL,DIGITAL,1,643,643.0,PL SNKO03K250201374.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코 7.5MW 3.5선적JWSH25030014\PL SNKO03K250201374.pdf
CI,DIGITAL,1,1259,1259.0,2 CI_Z20240326077-1.pdf,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 03.25 선적\Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)\2 CI_Z20240326077-1.pdf
PL,DIGITAL,1,604,604.0,3 PL_Z20240326077-1.pdf,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 03.25 선적\Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)\3 PL_Z20240326077-1.pdf
CI,DIGITAL,1,1193,1193.0,SNKO020241008028-CUSTOMS-CI.pdf,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\6차 SNKO020241008028(11,520PCS)\SNKO020241008028-CUSTOMS-CI.pdf"
