year,vendor,prefix,file_type,filename,size_bytes,rel_path
2024,징코모듈,JWSH24110019,CI,JWSH24110019 CI.pdf,53480,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019 CI.pdf
2024,징코모듈,JWSH24110019,CI,JWSH24110019-CI.pdf,53450,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019-CI.pdf
2024,징코모듈,JWSH24110019,OBL,JWSH24110019 OBL.pdf,782463,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019 OBL.pdf
2024,징코모듈,JWSH24110019,PL,JWSH24110019-PL.pdf,43881,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019-PL.pdf
2024,징코모듈,JWSH24110020,CI,JWSH24110020 CI.pdf,55257,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020 CI.pdf
2024,징코모듈,JWSH24110020,CI,JWSH24110020-CI.pdf,55255,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020-CI.pdf
2024,징코모듈,JWSH24110020,OBL,JWSH24110020 OBL.pdf,789183,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020 OBL.pdf
2024,징코모듈,JWSH24110020,PL,JWSH24110020-PL.pdf,45469,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020-PL.pdf
2024,징코모듈,JWSH24110022,CI,JWSH24110022 CI.pdf,56189,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022 CI.pdf
2024,징코모듈,JWSH24110022,CI,JWSH24110022-CI.pdf,56162,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022-CI.pdf
2024,징코모듈,JWSH24110022,OBL,JWSH24110022 OBL.pdf,786004,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022 OBL.pdf
2024,징코모듈,JWSH24110022,PL,JWSH24110022-PL.pdf,45936,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022-PL.pdf
2024,징코모듈,JWSH24110023,CI,JWSH24110023 CI.pdf,54108,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023 CI.pdf
2024,징코모듈,JWSH24110023,CI,JWSH24110023-CI.pdf,54085,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023-CI.pdf
2024,징코모듈,JWSH24110023,OBL,JWSH24110023 OBL.pdf,794597,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023 OBL.pdf
2024,징코모듈,JWSH24110023,PL,JWSH24110023-PL.pdf,44007,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023-PL.pdf
